"[HOW TO USE THIS TABLE]
company","is it
aging
?",operating status,"short summary
(intended to be objective, usually from company website, edited for brevity)",clinical stage / pipeline (as of Jun'22),Tx or Dx,"Aging Biotech
 .info company
categories","hallmarks
of aging",SENS damage categories,diseases / indications,species (humans implied),clin. trials (as of Jun'22),modalities,regulatory category,"team/principals
(esp. scientific)",advisors (scientific),contact info,geo(s),public?,ticker Y!,"ticker 
f/ G (if diff)",market cap (M),"employees, Y! publics",employees LI (as of May'22),year founded,priv. fund. stage,notable investors,tot. raised ($M) (as of Jun'22),other relations,lead product(s),publications,as of (last full row update),add date if after Oct 2019,notes
Blue Rock Therapeutics,yes,operating,universal pluripotent stem cell lines for allogeneic cell therapies for neuro-/cardio-/immunology,ph.1 trials,Tx,stem cells,stem cells,cell loss,"PD, neuroDs, HF",,2,"cell therapy, gene therapy",pharma,"Emile Nuwaysir, Robert Deans, Joachim Fruebis","Gordon Keller, Michael Laflamme, Lorenz Studer, Viviane Tabar, Bruce Blazar",form,"Boston, New York, Toronto",no,,,,,297,2016,acquired,Bayer,$225,Bayer,,,2020-01-05,2020-01-05,"Acquired by Bayer (remaining 59% for $600M) Aug'2019, but website still operating independently."
Brainstorm Cell Therapeutics,only brain,operating,autologous stem cells for neuroDs: MSCs differentiated to secret more neurotrophic factors (NTFs),ph.3 trials,Tx,stem cells,stem cells,cell loss,"ALS, MS, AD, PD, HD, ARDS",,6,cell therapy,pharma,"Chaim Lebovits, Ralph Kern","Jerold Chun, Stanley Appel, Amit Bar-Or",form,Israel,yes,BCLI,,$61,43,31,2004,,,$52,,,,2022-06-20,2022-06-20,Phase 3 trials for ALS completed.
BYOMass Therapeutics,yes,operating,control of metabolism for aging / age-related diseases,pre-clinical,Tx,metabolism,nutri-sense,,,,,,pharma,Margaret Jackson,,chris@juvenescence.ltd,Massachusetts,no,,,,,2,2017,raised seed,Juvenescence,$6.5,Juvenescence,,,2020-04-29,,
Calico,yes,operating,broad mission to improve health and longevity using technology to advance biological science,ph.1 trials,Tx,,,,,,3,,pharma,"Arthur Levinson, David Botstein, Cynthia Kenyon, Daniel Gottschling",,press@calicolabs.com,San Francisco,no,,,,,246,2013,2 rounds,"Google, Abbvie","$2,500","Google, AbbVie",,several,2019-08-19,,Initially funded/created within Google/Alphabet.
Cambrian Biopharma,yes,operating,biopharma umbrella company focused on aging,pre-clinical,Tx,umbrella,,,,,,,,link (to-do: expand here),,,,no,,,,,40,2019,raised C,,$160,,,,to be completed,2020-05-03,
CellVie,yes,operating,mitochondria transplantation 1st for ischemia-reperfusion injury then broader aging,pre-clinical,Tx,mitochondria,mitochondria,mitochondria,,,,,,"Alex Schueller, James McCully, Pedro del Nido, Sitaram Emani",,contact@cellvie.bio,"Zurich, Switzerland",no,,,,,7,2018,raised seed,Kizoo,$5.0,,,,2022-06-28,2022-06-28,
Centaura,yes,operating,reverse aging by affecting core biological mechanisms at the cellular level using multi-omics data,,Tx,,,,,,,,,,"Brian Kennedy, Joao Pedro De Magalhaes, Vadim Gladyshev, Vera Gorbunova, Andrei Seluanov, Jerry Shay",Info@centaura.com,Zurich,no,,,,,12,2018,,,,,,,2020-09-01,2020-09-01,
Centers for Age Control,yes,operating,sells AgeMeter multimodal test of biological age (successor to H-SCAN test),commercial,Dx,clock,,,,,,multimodal test,unreg test,Elliot Small,,info@agemeter.com,Las Vegas,no,,,,,2,2005,crowdfunded,,,,AgeMeter,,2019-08-22,,
Cerevance,"only
brain",operating,"drug discovery platform by analyzing brain cell transcriptome diffs by age, cell type, region, & disease",ph.1 trials,Tx,,,,"PD, AD, ALS, neuroDs",,6,"small molecules, mAbs",pharma,"Brad Margus, Mark Carlton, David Margolin, Lee Dawson, Roland Burli","Nathaniel Heintz, William Ray, Robert Malenka, James Summers, Jeremy Nathans, Rudolph Tanzi",info@cerevance.com,Boston,no,,,,,49,2016,raised B,"Takeda Pharm, Dementia Discovery Fund, Lightstone",$92,,CVN424,paper,2020-03-04,,
ChromaDex,yes,operating,"nutraceuticals for aging, esp. flagship product Niagen w/ nicotinamide riboside (NR), an NAD+ precursor","commercial,
ph.4 trials",Tx,mitochondria / NAD+,mitochondria,mitochondria,"cancer, MCI, HF,
mitoDs, more...",,35,nutraceuticals,supplement,"Rob Fried, Frank Jaksch Jr., Matthew Roberts","Roger Kornberg, John Walker, Rudolph Tanzi, Charles Brenner, Rob Beudeker, Bruce German",multiple emails & form,Los Angeles,yes,CDXC,,$130,100,115,1999,,,,,Niagen,,2019-08-05,,"13 clinical trials mentioning Chromadex, but fewer sponsored by Chromadex and 23 trials using Niagen (some just not mentioning Chromadex by name)."
Chronomics,yes,operating,"DTC saliva methylation clock, plus software to improve health",commercial,Dx,"epigenetic, clock",epigenetic,,,,,saliva sample,unreg test,"Tom Stubbs, Robin Thompson, Daniel Herranz","Janet Thornton, Paolo Vineis",info@chronomics.co.uk,London,no,,,,,104,2017,raised seed,"SOSV, Anthemis, RebelBio",$1.4,,EpiHealth,,2019-10-18,,
Cleara Biotech,yes,operating,"senolytics, initially based on FOXO4-p53 interfering peptide",pre-clinical,Tx,senescence,senescence,senescence,,,,peptide or small molecules?,pharma,"Peter De Keizer, Tobias Madl, Marco Demaria",Boudewijn Burgering,form,Netherlands,no,,,,,9,2018,raised seed,Apollo,,,,"several, esp. Cell 2017",2019-07-11,,
CohBar Inc,yes,operating,find mtDNA peptides (eg that decrease w/ age) & optimized analogs to treat metabolic dysfunction,ph.1 trials,Tx,mitochondria,mitochondria,mitochondria,"NASH, obesity, T2D,
cancer, other ageDs",,1,peptides,pharma,"Steven Engle, Kenneth Cundy, Nir Barzilai, ...","Amir Lerman, David Sinclair, Ronald Kahn, James Livingston, Frank Calzone",info@cohbar.com,San Francisco,yes,CWBR,,$5,11,14,2007,,,,,CB4211,papers & posters,2019-10-16,,
Covalent Bioscience,yes,operating,"platform for catalytic antibodies (w/ advantages over mAbs) 1st for ATTR & Aβ, electrophilic vaccines",pre-clinical,"Tx,
preventative",proteostasis,proteostasis,ex-cell aggregates,"CVD, AD, HIV",,,,pharma,"Richard Massey, Sudhir Paul, Stephanie Planque","Robert Friedland, Joel Buxbaum, Miguel Escobar, Carl Hanson, Seth Pincus",form,"Houston, New York",no,,,,,3,2011,,,,,,several peer reviewed,2019-08-03,,
Cyclarity (was Underdog),yes,operating,cyclodextrin derivatives to remove 7-ketocholesterol to remove arterial plaques,pre-clinical,Tx,in-cell aggregates,,in-cell aggregates,"atherosclerosis, HCL, HF, AMD",,,drugs,pharma,"Michael Kope, Matthew O'Connor","Aubrey de Grey, Lajos Szente",info@underdogpharma.com,San Francisco,no,,,,,11,2019,raised seed,Kizoo,$17.5,,,2021 paper 2020 paper,2019-11-23,,Video presentation of the science behind the company from Undoing Aging 2019 conference.
Cyclo Therapeutics,"yes 
(see notes)",operating,hydroxypropyl beta cyclodextrin for cholesterol transport for Alzheimer’s & Niemann-Pick Disease Type C1 (NPC),ph.3 trials,Tx,,,,,,5,,,,,,,yes,CYTH,,$16,9,17,1990,,,,,,,2022-06-01,2022-06-01,Considering aging tentatively based on likely breadth of platform applicability based on Underdog's indications.
Cytegen,yes,operating,exercise mimetic biologics to treat mitochondria dysfunction,pre-clinical,Tx,"mitochondria, metabolism","mitochondria, nutri-sense",mitochondria,"AD, Parkinson's",,,biologics,pharma,"George Ugras, Blake Hill",,,San Francisco,no,,,,,3,2015,,Breakout,$2.1,,,,2019-12-19,,
Deciduous Therapeutics,yes,operating,activate endogenous immune cells to clear senescent cells,pre-clinical,Tx,senescence,senescence,senescence,,,,,pharma,Robin Mansukhani,,,San Francisco,no,,,,,12,2018,raised seed,"JLABS, MBC, Longevity Fund, CRV",$6.5,"QB3, Age1",,key 2021 paper,2020-02-20,,"May 2021 news article: 
https://www.statnews.com/2021/05/10/reawakened-immune-cells-show-promise-in-mice-against-senescent-cells/"
Denali Therapeutics,"only
brain",operating,"drug discovery for neurodegeneration, optimized for brain delivery, guided by genetics & biomarkers",ph.2 trials,Tx,,,,"PD, ALS, AD, FTD, MS, neuroDs",,17,"small molecules, biologics",pharma,"Ryan Watts, Carole Ho, Zach Sweeney","Scott Biller, David Holtzman, Eric Reiman, Kevan Shokat, Henrik Zetterberg, Huda Zoghbi, Marc Tessier-Lavigne",form,San Francisco,yes,DNLI,,"$4,432",230,393,2015,,,,,"DNL201, DNL151, DNL747",,2019-08-22,,
Dorian Therapeutics,yes,operating,block cellular senescence,pre-clinical,Tx,senescence,senescence,senescence,,,,,pharma,"Maddalena Adorno, Benedetta di Robilant",,form,San Francisco,no,,,,,12,2018,,"Longevity Fund, YC, Blumberg",,MBC,,,2019-08-06,,
Edifice Health (was iuve),yes,operating,DTC biomarkers of systemic chronic inflammation based on Stanford 1000 immunomes project & AI,commercial,Dx,clock,,,,,1,blood test,unreg test,"Wolfgang Daum, Zuzana Krejciova-Rajaniemi","Mark Davis, David Furman, Joseph Wu",info@iuvebio.com,San Francisco,no,,,,,16,2018,,,$13.5,Age1,iAge,several,2019-08-02,,
Eidos Therapeutics,yes,operating,small molecule to make TTR stable to prevent ATTR: mimics bonds from a natural gene variant,ph.3 trials,Tx,"proteostasis,",proteostasis,ex-cell aggregates,ATTR,,9,small molecules,pharma,"Neil Kumar, Jonathan Fox, Uma Sinha",,info@eidostx.com,San Francisco,no,,,,,62,2016,,BridgeBio,$64,BridgeBio,acoramidis (AG10),papers on trials,2022-06-20,2022-06-20,"ATTR is implicted in the deaths of the majority of super-centenarians and involved in neurodegeneration. Was public, but then fully acquired by BridgeBio."
Elastrin Therapeutics,yes,operating,drug plattform for damaged elestin: particle design + elastin targeting for arterial diseases,pre-clinical,Tx,ECM or AGEs,,ECM,arterialDs,,,,,"Douglas Mulhall, Naren Vyavahare, Charles Rice, Mirko Stange, Valentin Busch, Mattias Breugelmans","Charles O'Neill, Elena Aikawa, Frank Rutsch, Klaus-Dieter Langner, Linda Hands, Yuri Martina",form,"Greenville, SC",no,,,,,7,2017,raised seed,Kizoo,$16.1,,,,2022-06-28,2022-06-28,
Elevian,yes,operating,"recombinant GDF11, first for stroke",pre-clinical,Tx,signals / factors,cell comm,,"stroke, metabolic disease, TBI",,,,pharma,"Mark Allen, Jeff Imbaro, Tony Sandrasagra, James Paskavitz, Amanda McEwen, Christopher Dale, Yongting Wang, Manisha Sinha","Lee Rubin, Rich Lee, Amy Wagers, Ryan Walker",info@elevian.com,Boston,no,,,,,22,2017,raised A,"Prime Movers, Kizoo, Longevity Fund, Bold",$64,,,several,2022-05-26,,
Elysium Health,yes,operating,supplement called Basis: NR + pterostilbene for boosting NAD+; plus DTC epigenetic clock,"commercial, ph.1 trials","Tx, Dx","mitochondria / NAD+, 
epigenetic","mitochondria, epigenetic",mitochondria,,,14,"nutraceuticals, saliva sample","supplement,
unreg test","Eric Marcotulli, Leonard Guarente, Mark Morris, Morgan Levine","25+ inc. George Church, Ana Maria Cuervo, Vera Gorbunova, Jim Kirkland",care@elysiumhealth.com,New York,no,,,,,66,2014,raised B,"SV Bank, General Catalyst",$71,,"Basis, Index",paper,2020-01-06,,To launch epigenetic age clock in Jan 2020 based on work by new head of bioinformatics Morgan Levine.
Enclear Therapies,"only
brain",operating,"devices to access & filter toxic proteins from CSF, 1st for ALS",pre-clinical,Tx,proteostasis,proteostasis,ex-cell aggregates,"ALS, neuroDs",,,CSF access,device,"Anthony DePasqua, Kevin Kalish, Kasper Roet, William Gormley","Kevin Eggan, Clifford Woolf, Manuel Navia, Bernhardt Trout",form,Boston,no,,,,,12,2018,raised A,"20/20 HealthCare, Thiel Capital, Amgen Ventures, Bioverge, Sanford Biosciences, Presight Capital",$12,LabCentral,,,2020-02-20,,"Mostly a therapeutic company, but various company summaries also mention monitoring of CSF."
Endogena Therapeutics,yes,operating,endogenous regenerative medicine via drug discovery for regulation of endogenous stem/progenitor cells,pre-clinical,Tx,stem cells,stem cells,cell loss,"eyeDs, AMD, IPF",,,small molecules,pharma,link (to-do: expand here),link (to-do: expand here),info@endogena.com,Zurich,no,,,,,14,2016,,"Rejuveron, DEFTA",,Rejuveron,,,2021-05-06,2021-05-06,
Epimorphy LLC (MyDNAge),yes,operating,DTC Horvath methylation clock,commercial,Dx,"epigenetic, clock",epigenetic,,,,,"blood test, urine test",unreg test,Larry Jia,,info@myDNAge.com,Los Angeles,no,,,,,4,2016,,,,Zymo Research,myDNAge,,2019-08-02,,
Equator Therapeutics,yes,operating,,pre-clinical,,,,,,,,,,,,,,no,,,,,7,2019,,,,,,,to be completed,2021-04-03,
Eterly,yes,?,AI based anti-aging health & fitness monitoring and recs app w/ blockchain coins for incentives,pre-commercial,recs,,,,,,,software/system,unreg app/advice,Andrew Ahachinsky,,form,"Vancouver, BC",no,,,,,4,2016,raised seed,Deep Knowledge Ventures,,Longevity Token?,,,2019-08-22,,"Still going? This page says removed from app store. 2019 note: What's the relationship to Longevity Token (LTY) / Longevity United [longevitytoken.com, which as of 2022-06-01 is no longer live]?"
Eternans,yes,operating,"senolytics, peptide (see patent)",pre-clinical,Tx,senescence,senescence,senescence,,,,,pharma,Yavuz A.,,form,UK,no,,,,,2,2017,,,,,,,2019-08-22,,
Fauna Bio,maybe,operating,comparative animal genomics & multi-omics for drug discovery to improve human health,pre-clinical,Tx,,,,,,,,,,,form,San Francisco,no,,,,,17,2018,raised seed,"Longevity Fund, True Ventures (lead)",$13.3,Age1,,,2019-07-15,,"Appears more committed to idea of using insights f/ non-model non-human organisms for human health broadly, not specifically for aging. In favor of categorizing as aging: Hibernation is a focus & relevant for  age-related diseases. Aging is mentioned as a (distant) future area. Investment by Longevity Fund. Conclusion: Include but re-evaluate after seeing what indications, targets, pathways they go after."
